mti,processingCode,transactionAmount,dateTimeTransaction,cardholderBillingConversionRate,stan,timeLocalTransaction,dateLocalTransaction,expiryDate,conversionDate,merchantCategoryCode,posEntryMode,acquiringInstitutionCode,forwardingInstitutionCode,rrn,cardAcceptorTerminalId,cardAcceptorId,cardAcceptorNameLocation,cardBalance,additionalData48,transactionCurrencyCode,cardholderBillingCurrencyCode,posDataCode,originalDataElement,channel,encryptedPan,network,dcc,kitNo,factorOfAuthorization,authenticationScore,contactless,international,preValidated,enhancedLimitWhiteListing,transactionOrigin,transactionType,isExternalAuth,encryptedHexCardNo,isTokenized,entityId,moneySendTxn,mcRefundTxn,mpqrtxn,authorisationStatus,latitude,longitude
39,76,14,2037-11-09 08:43:09.007371,42,1,76,21,73,23,14,67,36,32,18,92,42,79,36,68,58,37,74,70,63,28,46,97,30,27,73,20,37,30,66,12,57,38,49,0,89,38,75,5,18,-60.86171170272638,-174.94388177008776
20,60,93,2092-08-07 19:13:18.008509,33,99,45,66,35,42,26,24,2,37,20,50,19,72,46,83,36,98,21,82,42,94,2,91,78,0,45,50,20,34,28,6,81,26,64,31,20,66,33,97,58,10.729346273029208,91.08690632190388
84,84,41,2027-04-25 20:09:20.005182,70,56,3,89,66,84,94,62,7,36,39,90,79,49,12,28,3,73,54,63,14,24,67,68,4,89,90,39,45,64,30,95,29,42,55,57,83,16,10,58,22,-65.89719260864013,-68.40725325281394
80,54,16,2018-08-27 05:05:28.008511,98,22,10,61,67,87,31,39,69,90,16,57,47,65,68,40,99,8,10,73,99,65,17,4,69,31,24,39,0,72,25,81,25,49,69,0,32,79,17,41,75,-45.53735378389048,-13.1569512110637
35,69,78,2098-02-21 20:37:09.001588,49,63,65,42,89,50,65,71,49,70,14,7,65,46,86,20,70,60,32,68,42,82,33,70,87,6,44,14,2,52,94,39,100,40,78,88,35,39,11,76,14,61.087218077984744,-8.707838411219768
9,23,96,1963-05-02 23:40:13.000710,41,64,14,68,43,15,10,78,33,34,5,67,6,87,49,51,61,40,36,49,98,93,44,39,30,61,92,40,79,54,85,52,25,90,54,46,77,29,3,70,40,1.6754446233574072,85.89707947606377
81,51,64,1936-10-11 21:01:47.005594,60,18,91,15,19,34,10,69,54,72,75,69,51,71,71,47,100,37,39,47,87,81,87,5,15,87,75,58,27,73,82,69,54,84,10,19,28,50,9,73,72,-33.108572696824254,-35.01360648727177
70,1,19,1997-03-22 18:25:32.005674,5,68,76,85,50,76,7,35,65,91,55,45,84,49,0,84,47,39,69,28,42,35,91,80,57,96,71,49,70,29,54,13,4,17,95,25,9,89,95,9,80,-83.14788137489666,-147.98194344894426
57,21,63,1912-07-19 08:35:47.008967,47,22,23,47,9,56,22,88,80,77,44,16,20,27,17,83,11,40,84,98,29,72,57,31,7,55,96,38,93,95,33,73,37,3,55,33,57,39,57,63,65,33.76725337380543,49.78492804682426
35,36,19,1973-03-20 07:47:46.008657,7,41,19,96,2,86,26,84,36,40,30,56,28,72,10,30,48,33,58,32,72,23,22,81,18,40,49,89,26,49,81,20,13,87,31,83,11,36,52,69,80,64.48971239975742,59.448364495176406
40,30,77,1990-04-10 23:45:42.003616,48,34,78,74,64,30,50,77,35,64,49,57,60,45,72,53,26,98,85,72,90,17,74,77,60,54,11,65,35,98,3,31,81,21,44,29,79,98,65,19,0,-10.32745444505052,96.33477390103292
61,7,10,1941-05-18 21:53:32.001759,33,77,88,64,83,68,12,95,56,59,40,68,42,47,11,55,34,86,70,29,93,80,30,62,60,33,45,20,34,70,53,16,70,88,41,21,49,70,90,25,78,50.34384032303845,92.25180054954427
90,90,8,2069-10-18 15:05:22.000292,25,73,52,13,52,51,77,34,14,85,73,9,76,71,31,31,73,22,33,83,54,17,76,11,25,95,24,61,60,66,81,53,14,62,67,33,3,98,17,26,50,17.48550776488699,-168.91769307621232
25,64,62,2034-08-13 21:16:03.001140,17,46,48,78,80,53,68,63,12,29,73,95,25,42,67,84,64,67,89,94,16,14,22,23,64,6,15,29,36,32,65,71,16,60,18,64,19,20,69,38,16,-3.090592817939111,99.38876565334022
42,92,15,1981-03-24 12:12:06.000920,18,20,48,100,64,10,90,69,12,42,31,6,36,16,52,78,84,87,31,33,29,77,39,79,59,87,34,4,55,74,95,18,79,100,55,88,12,39,20,33,22,-65.53415951061803,-85.37484435948748
28,43,27,1907-03-13 20:26:53.003949,14,67,90,84,10,39,2,64,72,19,44,88,26,39,24,60,11,89,97,69,15,99,79,97,72,57,5,13,23,1,51,77,2,57,47,62,45,70,88,50,37,-88.41156059731512,15.45467319609574
20,95,12,1934-02-16 08:58:15.000105,88,82,41,12,32,98,1,31,51,22,81,50,23,58,32,46,72,55,92,93,38,32,40,50,4,32,5,37,6,79,58,4,27,6,12,74,36,0,61,35,44,0.4726410778987571,138.00168185385849
98,32,91,2039-02-13 17:50:56.000178,16,99,18,89,60,72,80,88,47,94,26,19,91,94,63,75,18,75,13,10,21,44,73,46,70,61,87,54,26,88,27,77,66,81,81,72,26,90,19,65,12,-65.54732656475072,-60.5291696619268
67,37,53,1924-07-10 15:28:23.002962,93,33,20,0,100,66,25,95,90,70,4,34,16,30,37,85,0,76,51,33,71,82,9,36,85,41,66,71,95,29,62,3,84,41,63,66,87,60,49,51,39,8.95989962087171,126.18312401065492
46,2,65,1901-10-09 08:14:30.004114,6,72,64,5,28,92,47,28,38,75,8,2,8,67,34,97,71,41,48,15,65,0,43,70,4,29,66,39,68,99,82,23,75,51,86,99,16,85,13,54,22,-53.762693453781665,168.39812864467
61,96,83,1916-07-09 15:31:37.006622,20,22,11,38,77,43,31,27,10,76,60,12,65,9,32,11,83,51,34,42,75,84,6,61,53,88,73,15,87,88,8,48,27,97,77,5,71,90,43,33,19,1.2030571054817045,-54.768683843164254
11,12,19,2062-04-06 15:41:28.008695,26,60,88,60,83,68,6,77,46,20,53,99,5,40,85,8,63,59,1,99,1,63,51,64,78,81,30,89,83,23,92,35,32,48,88,3,66,93,22,30,96,15.408807802690077,160.23903630660863
48,86,66,2027-11-01 12:28:23.005772,45,20,10,54,93,34,95,3,1,87,83,75,0,14,59,7,59,40,53,41,97,65,71,55,44,17,77,17,44,11,43,78,43,6,3,54,82,28,70,95,79,83.26844313913637,16.124490681632437
98,80,94,1940-11-05 15:16:04.009281,24,54,40,58,53,67,84,2,22,53,54,79,52,84,33,14,66,100,45,87,27,28,19,89,71,42,100,71,83,3,85,62,20,52,73,17,72,66,68,75,33,-43.20265796277779,131.54076480460162
82,55,87,1904-05-11 20:18:38.003330,44,65,34,11,62,23,73,84,72,44,72,72,15,41,61,3,10,7,36,91,85,4,59,57,49,68,28,17,18,78,36,48,73,53,36,68,42,46,49,81,6,-36.26158975096139,-10.929414306151045
34,42,84,2071-06-08 17:40:29.009781,13,28,52,27,67,18,100,60,87,75,89,11,1,10,98,20,95,3,14,37,76,88,65,63,69,15,2,9,82,52,30,44,81,97,43,93,34,59,35,100,73,-61.95485083608828,175.96282491312195
81,23,29,2043-03-06 15:04:30.003919,41,95,90,21,4,5,97,94,81,35,19,89,42,45,100,79,9,87,99,60,79,76,80,68,66,6,41,58,20,14,35,68,30,19,4,12,100,23,31,56,59,20.86652244155283,-126.87839389742575
100,71,68,1916-03-03 00:23:10.007971,24,36,56,10,31,27,60,65,2,7,61,68,24,99,55,33,21,26,31,15,3,36,97,64,42,64,34,24,79,15,48,10,16,4,94,51,86,34,59,87,54,-82.01522841286139,97.21842575565961
1,47,10,2060-12-06 08:24:04.004144,72,27,2,88,73,39,97,70,48,30,22,47,5,21,64,51,5,10,85,31,37,8,57,36,1,72,45,23,30,15,78,57,96,76,52,59,6,83,3,8,26,27.756720458074582,179.80274048321695
36,9,33,1915-10-18 01:00:13.005038,100,65,99,79,21,12,24,9,14,0,44,93,2,52,33,6,28,43,9,65,80,78,43,41,2,64,88,13,67,74,100,75,44,71,89,82,45,97,80,42,71,-88.29988256156963,-83.34306109875641
100,7,19,1913-01-12 07:09:18.002859,45,40,49,23,4,74,65,3,45,29,13,14,5,50,93,36,28,10,75,13,82,11,14,1,13,53,60,2,68,57,85,9,69,62,30,85,52,49,69,22,23,-89.81030756288402,13.170912520611267
11,79,16,1968-03-23 12:42:21.002806,4,59,59,72,5,36,18,81,80,2,1,63,9,81,18,25,2,52,69,94,97,67,65,0,72,13,35,65,58,46,16,17,16,69,42,21,22,66,16,70,60,-26.69850373969856,135.115401847121
37,76,84,1901-07-22 17:22:20.005485,28,93,83,25,85,44,81,79,71,38,84,40,29,95,96,75,51,44,95,10,80,42,48,12,92,78,96,79,40,35,33,29,57,24,28,99,11,64,37,25,6,-74.65069402645199,138.418113757921
10,46,90,2058-05-15 03:31:18.007952,22,67,6,0,82,64,79,91,9,4,52,70,80,65,37,3,39,72,10,29,78,30,56,68,83,60,48,76,89,79,90,24,18,30,91,98,61,24,19,6,28,73.74190987865202,73.45244691642321
25,17,17,1905-06-14 09:37:08.006580,51,90,75,23,96,56,4,20,27,67,46,65,68,65,25,99,39,88,48,40,95,70,16,24,49,69,51,13,34,97,18,17,6,62,82,83,57,49,66,44,67,76.05482121719925,-10.34297510853304
63,10,44,2086-10-28 19:01:43.008347,68,46,78,79,71,35,82,38,71,56,41,5,38,25,1,52,57,53,37,8,16,40,44,66,92,18,37,79,47,17,13,81,72,50,51,55,52,67,56,17,5,42.4878448995284,1.8121965934245452
100,10,38,1917-03-18 08:37:02.009507,81,67,83,3,45,44,79,38,53,20,17,57,4,53,97,85,21,15,82,100,53,97,62,31,1,73,31,57,92,42,0,26,60,68,79,32,8,76,88,75,23,52.48731340372893,79.57117385974897
37,64,92,2084-10-05 02:03:33.005478,79,67,66,76,79,81,64,83,86,18,78,83,2,59,60,6,15,23,16,73,63,23,19,13,89,27,85,19,91,65,15,40,22,21,9,62,52,27,22,39,88,66.88365842908871,106.54122723591479
33,40,5,1906-05-10 23:29:19.002295,11,61,19,30,37,29,28,28,93,53,88,40,85,44,45,67,99,39,86,24,54,31,46,79,19,35,83,65,67,94,80,6,70,7,24,37,73,43,34,28,59,46.80349695455641,-15.673242208817726
91,67,27,1913-08-18 04:45:52.006491,4,11,62,26,78,26,38,78,12,10,66,99,26,54,17,81,29,15,52,98,80,12,61,96,26,55,1,97,2,98,56,2,21,66,12,5,59,49,12,53,41,-49.15041712951326,174.96620284560578
48,92,7,1957-01-13 21:07:51.001741,92,82,16,12,49,22,6,7,99,56,1,94,29,10,34,28,2,70,50,99,68,58,4,2,45,35,14,88,18,78,51,1,0,53,50,41,48,97,94,100,65,15.771531719864058,39.700473703890935
94,40,81,1930-03-05 20:17:38.008429,20,11,68,24,84,65,70,70,96,86,77,87,58,41,85,25,18,19,0,35,49,85,40,80,83,15,88,63,85,99,25,47,99,74,22,59,20,49,83,58,43,50.68409734485769,-166.9723798770546
5,41,33,2076-03-18 07:01:51.001795,73,33,66,88,27,59,70,99,4,41,81,64,18,4,7,21,65,42,42,66,61,63,38,19,89,81,81,24,17,97,12,66,88,45,94,46,19,34,38,58,49,42.48078772018823,92.16015762143468
13,48,33,1914-06-04 14:56:44.008973,86,4,90,12,49,25,80,88,9,40,29,78,45,70,16,9,36,26,14,4,86,50,65,44,78,72,1,9,49,4,8,23,70,53,23,60,76,65,73,11,51,-22.681058610734354,64.09717701782276
80,50,85,2068-02-07 02:14:37.003719,91,42,93,91,20,31,58,27,82,43,15,90,39,69,22,39,87,98,64,51,79,98,13,56,49,92,10,82,80,87,53,77,19,33,38,87,81,60,6,56,53,70.64115175135947,132.2705962552152
85,47,66,2071-11-27 08:22:20.002493,70,38,98,56,15,1,74,33,40,65,80,50,99,33,82,67,31,31,84,60,74,28,35,58,66,73,36,17,93,50,42,70,77,87,73,74,61,53,42,100,52,28.032300364803945,84.09427592436333
17,90,96,2061-11-01 18:46:11.009428,85,41,50,2,82,43,75,72,45,98,60,63,0,9,39,76,39,38,11,92,56,11,20,47,35,23,58,77,83,79,46,56,56,91,23,53,99,24,9,67,87,-54.837784296980814,-42.249554761129644
50,57,9,2008-10-18 12:06:13.006837,16,22,95,17,76,30,7,53,72,7,90,37,43,43,55,56,1,78,32,16,99,30,34,45,42,92,75,99,79,44,14,70,44,42,1,14,51,74,96,50,1,-39.47954859505203,130.6925889427008
52,98,27,2023-03-27 08:33:01.007477,33,6,96,76,10,79,78,9,82,97,50,28,54,71,96,38,93,36,40,17,89,35,38,61,7,47,44,51,23,40,8,89,95,50,5,58,9,48,40,58,99,-21.072918097813613,24.434800783732953
78,16,40,1920-04-02 04:25:16.006591,73,90,18,15,82,45,94,5,57,18,22,82,35,98,29,15,91,10,10,89,62,9,24,89,52,80,59,74,32,43,30,82,100,24,39,1,48,86,74,75,78,-69.76988235214924,139.4835124184106
68,100,71,1941-12-24 06:03:20.004937,9,20,35,13,78,83,54,45,8,93,15,41,59,72,17,93,84,26,61,50,24,38,70,72,24,20,9,74,68,98,87,50,7,41,42,70,4,83,51,69,84,62.56891335800836,-43.934574772109386
62,23,66,2100-10-01 12:37:01.002532,85,89,91,90,34,52,49,39,39,24,60,60,54,16,55,63,38,41,61,95,1,6,99,82,21,54,75,93,86,24,47,69,13,8,91,11,10,50,99,90,31,-8.90386342750169,-24.402805892936783
79,10,17,1949-07-16 10:48:21.005406,5,55,77,79,97,29,0,21,3,97,73,81,12,65,28,20,63,5,42,30,9,8,41,63,9,2,40,71,9,14,62,21,33,10,32,27,57,48,86,64,0,-23.225368481730584,-61.82726778648255
64,20,91,2003-02-08 02:53:33.008609,13,77,25,19,31,31,87,81,83,68,22,22,39,93,4,49,30,36,93,44,69,9,54,81,95,60,25,7,95,79,49,91,92,47,29,60,53,54,44,81,85,-70.40591423406141,97.17647378336068
57,74,32,1916-12-03 06:45:28.009240,16,93,63,20,32,36,28,17,15,50,65,54,7,21,38,82,93,36,52,8,57,58,78,66,96,61,97,48,39,100,66,49,100,95,37,91,96,68,93,42,55,49.601603652388576,27.732000887745187
54,42,10,1960-09-10 16:26:07.006086,99,10,1,74,74,2,65,82,6,82,54,50,58,100,16,87,23,54,22,25,19,100,22,57,79,37,1,32,48,75,30,61,78,75,15,37,50,6,15,62,62,86.0384565675229,137.3555270034036
43,36,34,2059-10-05 10:13:54.009760,5,70,72,96,83,13,45,80,20,76,87,41,74,100,29,12,51,86,82,49,62,11,44,31,79,28,71,35,29,50,6,82,68,91,92,26,49,41,29,90,71,-4.642048470614171,3.1075891116388448
34,58,87,2061-07-15 10:49:58.003863,10,96,24,7,60,1,1,59,33,67,61,33,17,18,54,92,85,67,81,34,81,82,53,55,95,78,45,27,68,81,61,46,70,73,73,3,73,52,38,52,99,-49.95626772801761,3.5896568931483728
42,44,27,2092-08-07 13:30:49.000688,26,43,37,99,12,90,35,93,96,62,25,39,36,31,78,82,81,27,63,95,99,6,45,51,8,64,85,30,76,22,59,56,56,57,66,60,87,85,80,93,97,-51.207974970559306,-22.615244903208293
36,22,81,1929-12-07 09:06:36.007698,88,34,8,75,27,43,47,63,15,12,92,74,16,0,85,31,36,34,79,99,91,47,50,88,3,90,42,68,17,47,90,26,97,85,94,85,55,55,87,43,3,7.051754981010717,125.0944815278529
92,41,76,2032-06-28 23:49:44.002457,52,11,0,68,77,90,60,87,48,29,66,67,79,14,15,26,69,34,83,100,97,30,65,29,30,54,97,38,62,1,26,6,48,66,52,22,60,80,65,40,82,13.842954996720692,-53.60663988986228
75,68,81,1907-05-24 21:51:44.009080,65,4,48,23,43,58,63,8,15,82,78,95,2,82,70,77,42,74,29,74,10,30,1,23,15,18,36,40,73,32,50,22,79,22,64,56,10,85,76,39,6,51.41251772053707,-67.99034895207274
94,66,75,2002-01-28 04:58:33.005284,33,2,4,49,77,32,51,97,90,31,63,100,60,7,53,48,4,95,61,10,97,92,0,49,36,70,93,87,50,53,82,41,70,20,27,34,93,50,6,41,79,87.13624548298893,172.87504098108963
21,100,44,1921-11-20 00:12:57.007014,48,95,15,85,83,0,17,49,67,17,69,85,18,34,6,9,95,6,46,62,46,59,22,82,19,70,77,53,17,96,45,12,49,26,32,55,12,38,26,20,54,79.62076285573161,6.707037635595128
0,80,100,1951-10-19 13:49:25.003480,87,80,88,63,15,84,56,61,15,24,62,25,42,77,78,46,14,67,67,6,12,3,84,20,2,68,5,82,48,8,90,34,36,76,99,20,17,26,73,60,26,-65.94495968267043,-32.6999134510838
60,71,54,2060-04-01 01:15:53.004718,98,90,51,23,41,73,93,33,96,55,34,9,56,6,7,12,47,30,74,9,39,71,42,58,78,68,86,89,9,39,50,55,87,90,61,7,87,68,43,89,44,5.505980562286425,-68.81101558755417
74,91,85,2058-10-25 10:59:16.005483,100,61,14,27,61,8,56,13,65,27,47,15,31,41,71,78,51,64,23,60,22,49,69,57,1,61,21,49,51,13,88,3,80,5,98,65,17,88,100,41,15,52.860430658148346,34.265085832366964
46,92,41,1931-04-07 07:50:07.000545,72,94,97,8,0,51,52,21,82,77,74,50,64,71,48,49,52,4,83,4,45,69,7,58,28,7,9,37,15,35,25,99,18,75,93,56,9,81,5,31,98,-7.064327988892018,42.03566466160623
77,14,4,2014-03-02 21:42:16.006597,16,91,75,47,8,24,73,11,45,44,32,81,68,58,14,39,94,5,98,60,90,83,10,30,5,44,93,9,91,97,13,40,86,53,36,93,84,54,44,9,14,-23.628381810723397,72.44483042042816
6,82,36,1943-05-01 22:33:52.006724,89,53,3,39,68,66,2,80,54,69,67,46,69,86,55,12,59,8,5,43,99,79,66,97,54,94,50,23,51,81,82,72,64,1,93,44,5,33,31,0,31,-13.95666756756475,-64.85563821198116
95,7,39,2066-07-14 18:28:30.001648,9,49,13,92,25,91,42,28,11,96,89,44,42,57,1,8,1,42,66,17,79,43,10,81,94,38,87,85,27,2,1,1,89,91,56,64,42,2,46,92,57,-47.36972290002439,-13.701410495957902
43,4,38,1904-05-28 21:58:14.002417,21,75,24,99,34,46,79,27,85,52,26,62,9,88,73,51,33,51,98,96,68,50,52,96,31,7,84,3,34,94,95,43,37,40,71,72,95,22,63,28,18,-69.84438385840885,159.96541079976964
19,52,73,2062-11-16 03:56:58.003024,29,55,10,97,32,71,61,100,93,37,84,0,39,69,17,9,44,98,36,42,74,93,67,48,40,4,36,42,77,52,82,72,77,59,18,54,87,42,48,24,8,17.619976588789257,73.27700252934596
37,25,81,1961-11-16 09:06:11.007137,93,90,6,3,90,41,24,22,98,38,92,95,57,89,10,90,61,96,79,59,74,9,56,86,85,75,86,73,91,44,66,61,12,30,17,14,49,36,99,90,42,73.03031967734032,-158.5279678306295
99,79,57,2055-10-28 07:32:21.003783,60,4,90,57,55,68,56,61,70,7,86,14,51,41,11,95,6,9,91,33,23,24,7,66,76,17,43,57,58,95,4,40,20,96,92,61,51,66,41,50,79,-0.8895382023605265,117.72125773422039
63,86,70,2056-12-07 04:15:39.004699,27,0,79,46,47,5,68,12,32,47,32,24,39,4,32,39,59,20,58,85,14,78,79,19,92,9,5,89,92,52,63,81,77,60,9,42,82,56,14,35,38,-63.380983606638566,-37.68577344727578
28,7,36,1958-10-05 22:46:59.000320,80,4,20,13,71,90,22,6,83,39,30,49,58,44,30,39,7,58,3,99,5,22,76,67,73,93,61,12,9,14,45,100,39,63,80,18,73,85,28,10,53,45.82779613489373,-148.19298290762558
21,9,54,2048-07-28 08:39:55.007286,33,28,99,51,96,58,46,66,47,43,17,38,45,100,3,21,14,75,28,11,28,88,96,38,75,0,43,89,26,60,80,66,66,58,73,37,73,84,6,3,45,-55.47555560244479,-127.45406072438341
53,79,87,2062-10-19 12:50:52.000075,87,74,21,56,21,93,99,83,80,83,80,89,11,33,0,72,14,49,66,2,19,94,15,56,80,71,97,14,96,78,8,82,13,52,97,79,81,76,56,93,55,-55.91623736534723,-72.07358042848901
12,12,80,2060-06-24 09:55:15.008604,51,73,32,70,43,60,29,74,80,6,98,6,34,13,10,72,65,53,31,56,84,74,94,34,6,43,38,47,86,73,70,98,42,18,19,79,33,16,2,14,70,17.76728839638335,-38.567945372760306
52,27,10,2016-08-25 20:06:52.007981,73,29,18,31,21,96,20,2,63,36,70,70,97,38,35,81,40,38,9,55,7,73,38,12,28,42,19,9,95,14,28,89,36,0,19,66,47,25,30,29,14,-13.995314217319574,-115.2734386215202
5,54,49,1968-01-20 07:04:46.002628,78,70,55,22,64,59,85,91,43,61,10,39,64,91,54,0,19,87,23,43,87,81,67,50,35,41,95,47,30,28,97,55,21,53,46,81,16,18,14,60,0,4.380135516805254,-113.41607643362983
56,67,45,2042-04-23 20:47:15.009060,44,24,95,20,93,69,28,100,90,70,34,15,54,12,87,86,62,71,14,41,79,24,85,44,46,64,29,78,14,56,94,2,81,54,8,82,54,55,11,7,63,-13.698010129647386,-130.9752058786469
85,89,8,2039-03-02 05:24:46.002138,73,83,91,35,50,51,38,61,48,11,62,28,80,20,30,85,38,56,16,14,21,36,32,32,76,49,30,94,86,47,1,76,87,79,70,9,83,29,35,3,52,-3.7255327609643274,28.73528668390594
10,78,92,2016-11-05 00:03:46.005720,79,64,33,50,89,49,87,49,82,40,46,34,18,60,0,86,96,20,84,53,26,13,75,6,81,65,13,93,97,84,42,75,88,27,56,58,37,24,86,47,23,20.32392850201552,-49.8416995902204
38,89,35,2051-03-13 16:29:35.001873,43,82,78,62,36,97,16,87,58,75,35,84,68,44,39,42,65,76,56,4,82,14,72,31,9,70,91,61,61,62,1,30,46,50,75,29,29,39,84,80,63,-20.609242501850204,-0.6393246534127854
81,64,97,1964-01-24 10:41:31.008316,72,66,19,90,96,18,2,81,56,3,40,2,63,99,66,43,60,35,63,72,67,99,91,3,50,80,85,79,22,18,38,80,64,73,31,75,79,57,80,94,0,-62.2507663017208,149.36749973817223
65,89,0,1946-11-01 06:23:38.002521,86,34,1,49,39,22,75,22,98,47,17,34,59,3,56,18,50,77,50,30,38,19,76,14,76,52,53,4,30,33,67,13,61,53,17,44,98,59,10,88,38,-55.41868578198982,123.61552358956965
57,91,74,2052-12-28 18:44:08.002767,84,16,67,46,18,59,83,15,10,12,78,100,35,85,11,54,61,57,92,74,0,75,44,40,5,79,60,85,43,18,6,28,1,91,64,46,99,95,92,93,76,46.00126011710029,-175.7534605064886
51,84,32,1902-01-07 11:47:35.008906,23,72,70,73,63,47,2,13,16,8,2,51,97,63,35,25,32,72,69,11,86,8,32,15,40,95,65,28,2,63,64,56,18,83,84,89,56,34,37,73,7,23.40024151750218,-0.15251109041281552
15,64,16,2030-09-18 15:49:59.002507,13,100,86,4,4,80,17,99,31,7,13,81,99,24,91,50,7,44,52,35,60,79,94,85,51,65,14,36,46,38,54,69,6,16,56,67,83,33,68,26,24,20.411356303710818,64.09504992040988
50,96,76,2082-12-22 08:19:03.002228,73,12,5,76,65,44,62,3,60,58,45,79,20,8,55,19,43,100,23,29,59,11,88,33,0,3,1,23,62,24,40,2,89,23,27,52,31,87,10,35,70,19.86442654026169,128.12627119681684
66,40,98,1920-01-01 04:59:47.009390,32,97,33,80,22,20,90,95,5,42,62,53,6,33,13,43,37,92,56,43,43,74,87,66,63,16,83,45,49,7,14,71,43,66,64,51,25,77,48,27,67,34.254376418112585,23.128024940479918
45,63,88,2033-05-13 08:00:03.007835,59,50,95,99,64,27,93,0,4,34,62,54,8,48,14,51,19,41,74,0,22,27,98,16,17,35,64,50,52,21,88,25,68,71,3,43,40,17,13,28,25,-26.076151587437046,-34.7682913334325
46,96,99,2026-11-15 10:41:51.008181,64,82,27,12,48,48,40,15,28,93,28,29,46,33,36,19,41,23,84,65,13,36,77,18,12,27,15,22,63,10,65,100,51,83,97,64,93,15,47,65,31,-65.0447943723963,119.69391493130871
48,4,8,1929-03-09 16:27:38.004034,86,26,0,39,51,83,42,53,96,46,59,44,9,92,35,4,97,56,0,44,13,68,53,45,74,45,84,96,64,91,79,11,17,31,79,6,43,59,56,58,36,55.82573726166436,111.57546816567685
28,47,32,1914-06-25 01:07:26.002533,89,43,76,38,88,51,85,54,61,13,46,100,25,59,1,1,27,83,7,88,89,70,97,63,6,18,97,36,21,52,79,68,76,28,65,14,80,21,83,4,53,69.82013274213469,-24.078630558744578
70,23,100,1951-10-17 08:23:21.006180,65,57,87,19,37,93,6,48,31,18,96,12,77,73,41,50,96,63,50,24,82,44,63,59,7,74,95,100,43,100,18,5,50,4,82,8,89,37,13,65,63,15.812918048586283,106.96578509294272
15,28,99,1943-06-05 05:29:28.006850,13,68,80,13,85,74,64,97,23,68,55,1,78,96,76,53,22,93,49,12,45,49,34,46,74,98,68,96,0,96,50,29,87,19,51,69,84,0,33,54,92,-3.262447578456346,110.49245693871268
